date,data,,,,,
01.05.2025,200.85,,,,,
01.04.2025,212.5,,,,,
01.03.2025,222.13,,,,,
01.02.2025,241.84,,,,,
01.01.2025,236,,,,,
01.12.2024,250.42,,,,,
01.11.2024,237.33,,,,,
01.10.2024,225.91,,,,,
01.09.2024,233,,,,,
01.08.2024,229,,,,,
01.07.2024,222.08,,,,,
01.06.2024,210.62,,,,,
01.05.2024,192.25,,,,,
01.04.2024,170.33,,,,,
01.03.2024,171.48,,,,,
01.02.2024,180.75,,,,,
01.01.2024,184.4,,,,,
01.12.2023,192.53,,,,,
01.11.2023,189.95,,,,,
01.10.2023,170.77,,,,,
01.09.2023,171.21,,,,,
01.08.2023,187.87,,,,,
01.07.2023,196.45,,,,,
01.06.2023,193.97,,,,,
01.05.2023,177.25,,,,,
01.04.2023,169.68,,,,,
01.03.2023,164.9,,,,,
01.02.2023,147.41,,,,,
01.01.2023,144.29,,,,,
01.12.2022,129.93,,,,,
01.11.2022,148.03,,,,,
01.10.2022,153.34,,,,,
01.09.2022,138.2,,,,,
01.08.2022,157.22,,,,,
01.07.2022,162.51,,,,,
01.06.2022,136.72,,,,,
01.05.2022,148.84,,,,,
01.04.2022,157.65,,,,,
01.03.2022,174.61,,,,,
01.02.2022,165.12,,,,,
01.01.2022,174.78,,,,,
01.12.2021,177.57,,,,,
01.11.2021,165.3,,,,,
01.10.2021,149.8,,,,,
01.09.2021,141.5,,,,,
01.08.2021,151.83,,,,,
01.07.2021,145.86,,,,,
01.06.2021,136.96,,,,,
01.05.2021,124.61,,,,,
01.04.2021,131.46,,,,,
01.03.2021,122.15,,,,,
01.02.2021,121.26,,,,,
01.01.2021,131.96,,,,,
01.12.2020,132.69,,,,,
01.11.2020,119.05,,,,,
01.10.2020,108.86,,,,,
01.09.2020,115.81,,,,,
01.08.2020,129.04,,,,,
01.07.2020,106.26,,,,,
01.06.2020,91.2,,,,,
01.05.2020,79.48,,,,,
01.04.2020,73.45,,,,,
01.03.2020,63.57,,,,,
01.02.2020,68.34,,,,,
01.01.2020,77.38,,,,,
01.12.2019,73.41,,,,,
01.11.2019,66.81,,,,,
01.10.2019,62.19,,,,,
01.09.2019,55.99,,,,,
01.08.2019,52.19,,,,,
01.07.2019,53.26,,,,,
01.06.2019,49.48,,,,,
01.05.2019,43.77,,,,,
01.04.2019,50.17,,,,,
01.03.2019,47.49,,,,,
01.02.2019,43.29,,,,,
01.01.2019,41.61,,,,,
01.12.2018,39.44,,,,,
01.11.2018,44.65,,,,,
01.10.2018,54.72,,,,,
01.09.2018,56.44,,,,,
01.08.2018,56.91,,,,,
01.07.2018,47.57,,,,,
01.06.2018,46.28,,,,,
01.05.2018,46.72,,,,,
01.04.2018,41.31,,,,,
01.03.2018,41.95,,,,,
01.02.2018,44.53,,,,,
01.01.2018,41.86,,,,,
01.12.2017,42.31,,,,,
01.11.2017,42.96,,,,,
01.10.2017,42.26,,,,,
01.09.2017,38.53,,,,,
01.08.2017,41,,,,,
01.07.2017,37.18,,,,,
01.06.2017,36.01,,,,,
01.05.2017,38.19,,,,,
01.04.2017,35.91,,,,,
01.03.2017,35.91,,,,,
01.02.2017,34.25,,,,,
01.01.2017,30.34,,,,,
01.12.2016,28.95,,,,,
01.11.2016,27.63,,,,,
01.10.2016,28.39,,,,,
01.09.2016,28.26,,,,,
01.08.2016,26.52,,,,,
01.07.2016,26.05,,,,,
01.06.2016,23.9,,,,,
01.05.2016,24.96,,,,,
01.04.2016,23.43,,,,,
01.03.2016,27.25,,,,,
01.02.2016,24.17,,,,,
01.01.2016,24.34,,,,,
01.12.2015,26.32,,,,,
01.11.2015,29.57,,,,,
01.10.2015,29.88,,,,,
01.09.2015,27.57,,,,,
01.08.2015,28.19,,,,,
01.07.2015,30.32,,,,,
01.06.2015,31.36,,,,,
01.05.2015,32.57,,,,,
01.04.2015,31.29,,,,,
01.03.2015,31.11,,,,,
01.02.2015,32.12,,,,,
01.01.2015,29.29,,,,,
01.12.2014,27.59,,,,,
01.11.2014,29.73,,,,,
01.10.2014,27,,,,,
01.09.2014,25.19,,,,,
01.08.2014,25.62,,,,,
01.07.2014,23.9,,,,,
01.06.2014,23.23,,,,,
